"","Species","ID","Pvalues","PvalColors","name","value"
"1","1",1,0.841815818418158,"Not-Significant","bill_length",-0.830815279625892
"2","1",1,0.841815818418158,"Not-Significant","bill_depth",0.13852439040693
"3","1",1,0.841815818418158,"Not-Significant","flipper_length",-1.09007775692118
"4","1",1,0.841815818418158,"Not-Significant","body_mass_g",-0.511525446272053
"5","1",2,0.863313668633137,"Not-Significant","bill_length",-0.684846784757709
"6","1",2,0.863313668633137,"Not-Significant","bill_depth",0.443497680272245
"7","1",2,0.863313668633137,"Not-Significant","flipper_length",-0.445317769257457
"8","1",2,0.863313668633137,"Not-Significant","body_mass_g",-1.19114397022866
"9","1",3,0.378562143785621,"Not-Significant","bill_length",-1.34170501166453
"10","1",3,0.378562143785621,"Not-Significant","bill_depth",1.10427314164709
"11","1",3,0.378562143785621,"Not-Significant","flipper_length",-0.588597766516062
"12","1",3,0.378562143785621,"Not-Significant","body_mass_g",-0.944009961517166
"13","1",4,0.192780721927807,"Not-Significant","bill_length",-0.867307403342938
"14","1",4,0.192780721927807,"Not-Significant","bill_depth",1.76504860302194
"15","1",4,0.192780721927807,"Not-Significant","flipper_length",-0.803517762403971
"16","1",4,0.192780721927807,"Not-Significant","body_mass_g",-0.696875952805673
"17","1",5,0.773022697730227,"Not-Significant","bill_length",-0.940291650777029
"18","1",5,0.773022697730227,"Not-Significant","bill_depth",0.341839916983807
"19","1",5,0.773022697730227,"Not-Significant","flipper_length",-1.4482777500677
"20","1",5,0.773022697730227,"Not-Significant","body_mass_g",-0.727767703894609
"21","1",6,0.132086791320868,"Not-Significant","bill_length",-0.88555346520146
"22","1",6,0.132086791320868,"Not-Significant","bill_depth",1.25675978657975
"23","1",6,0.132086791320868,"Not-Significant","flipper_length",-0.445317769257457
"24","1",6,0.132086791320868,"Not-Significant","body_mass_g",0.56968584184073
"25","1",7,0.0188981101889811,"Significant","bill_length",-1.72487231069352
"26","1",7,0.0188981101889811,"Significant","bill_depth",2.01919301124303
"27","1",7,0.0188981101889811,"Significant","flipper_length",-0.230397773369548
"28","1",7,0.0188981101889811,"Significant","body_mass_g",0.229876579862427
"29","1",8,0.67983201679832,"Not-Significant","bill_length",-0.976783774494074
"30","1",8,0.67983201679832,"Not-Significant","bill_depth",0.951786496714435
"31","1",8,0.67983201679832,"Not-Significant","flipper_length",-0.445317769257457
"32","1",8,0.67983201679832,"Not-Significant","body_mass_g",-0.944009961517166
"33","1",9,0.0633936606339366,"Not-Significant","bill_length",-0.283433423870203
"34","1",9,0.0633936606339366,"Not-Significant","bill_depth",1.81587748466616
